Id,y
50100,1.8294635
50101,2.07058
50102,1.6067408
50103,2.3851533
50104,1.7244381
50105,1.230433
50106,1.912385
50107,2.1831014
50108,1.8879347
50109,2.032183
50110,1.1673117
50111,1.5254529
50112,1.7889576
50113,1.7106535
50114,1.8520079
50115,2.0841837
50116,1.9267883
50117,1.8640308
50118,1.917691
50119,1.5450209
50120,2.080887
50121,1.9343351
50122,1.2101941
50123,1.9810257
50124,1.6504604
50125,1.8293837
50126,1.5557483
50127,1.7909651
50128,1.8214897
50129,1.7290907
50130,2.1928072
50131,1.7682087
50132,1.6528617
50133,1.9614122
50134,1.8518658
50135,2.0633435
50136,1.6186545
50137,1.7642841
50138,1.9277055
50139,1.7313639
50140,1.7459948
50141,2.371299
50142,1.612869
50143,1.6453183
50144,1.8522089
50145,2.064029
50146,1.6933454
50147,2.0893524
50148,1.8050727
50149,1.9469869
50150,1.5723852
50151,1.6496506
50152,1.7629675
50153,2.3953636
50154,1.4167349
50155,2.288422
50156,2.5648868
50157,1.3226054
50158,1.6369646
50159,1.3849152
50160,1.645257
50161,2.1081395
50162,2.629138
50163,2.1649888
50164,1.5797
50165,1.4138558
50166,1.6091696
50167,1.8623765
50168,1.7798597
50169,1.3396506
50170,1.6940804
50171,2.2504828
50172,1.5897912
50173,2.1743107
50174,1.9196191
50175,1.4027215
50176,2.6982648
50177,2.1145031
50178,2.22499
50179,1.8150669
50180,2.4658506
50181,1.3472116
50182,1.9850249
50183,1.4417162
50184,1.9215252
50185,1.2427721
50186,2.1390088
50187,2.2354057
50188,2.2591496
50189,2.0920835
50190,2.31257
50191,2.450834
50192,2.1804867
50193,2.6833942
50194,1.9014018
50195,1.8714974
50196,1.6376027
50197,1.8046776
50198,2.0890882
50199,2.1571975
50200,1.7652224
50201,2.2837367
50202,1.336111
50203,1.2815852
50204,1.6478012
50205,1.4248867
50206,2.171988
50207,1.7793812
50208,1.8385764
50209,1.592688
50210,1.7731475
50211,1.6308424
50212,2.1993897
50213,2.291511
50214,1.3478036
50215,1.6043372
50216,1.4940468
50217,1.6477833
50218,1.9580415
50219,1.8542361
